movie_title
Forrest Gump
Kill Bill: Vol. 1
英雄
Miami Vice
Indiana Jones and the Temple of Doom
卧虎藏龙
Pirates of the Caribbean: At World's End
Snakes on a Plane
Kill Bill: Vol. 2
The Matrix Reloaded
The Matrix Revolutions
Harry Potter and the Chamber of Secrets
Harry Potter and the Prisoner of Azkaban
Harry Potter and the Goblet of Fire
Harry Potter and the Order of the Phoenix
The Last Emperor
Harry Potter and the Half-Blood Prince
花样年华
2046
Lethal Weapon 4
Mission: Impossible
Hannibal Rising
TMNT
무사
Anna and the King
满城尽带黄金甲
Teenage Mutant Ninja Turtles III
The Forbidden Kingdom
The Mummy: Tomb of the Dragon Emperor
Memoirs of a Geisha
Shakespeare in Love
Lara Croft: Tomb Raider – The Cradle of Life
Wu Ji
Romeo Must Die
Rush Hour
巴尔扎克与小裁缝
风云雄霸天下
Kiss of the Dragon
Stardust
The Long Run
暗战
最佳拍档
Zuijia paidang daxian shentong
最佳拍档III之女皇密令
Zuijia paidang zhi qianli jiu chaipo
新最佳拍档
The Transporter
色‧戒
Mimic
Rush Hour 3
Rush Hour 2
Shanghai Knights
Australia
文雀
霍元甲
Samsara
The Gods Must Be Crazy
A Cock and Bull Story
Shanghai Noon
我是谁
一半海水一半火焰
倩女幽魂III：道道道
倩女幽魂II人间道
DOA: Dead or Alive
警察故事
饺子
警察故事4之简单任务
The Borrowers
The Corruptor
黑侠
Enter the Dragon
功夫
Charlie's Angels: Full Throttle
Kung Fu Panda
十面埋伏
全职杀手
Double Impact
Koroshiya 1
The Invisible
Elektra
Unleashed
High Heels and Low Lifes
福星高照
小白龙情海翻波 / The White Dragon
Around the World in 80 Days
Kickboxer
千机变II花都大战
韩城攻略
少林寺
霹雳火
荆轲刺秦王
大红灯笼高高挂
Dragon: The Bruce Lee Story
War
饮食男女
The Medallion
Sat sau ji wong
黄飞鸿
黄飞鸿之二：男儿当自强
黄飞鸿之三：狮王争霸
黄飞鸿之西域雄狮
一个好人
Cradle 2 the Grave
七剑
警察故事续集
The Tuxedo
无间道
The One
喋血双雄
倚天屠龙记之魔教教主
赤裸特工
琉璃樽
龙兄虎弟
飞鹰计划
L'Amant
霸王别姬
Year of the Dragon
重庆森林
警察故事 III：超级警察
太极张三丰
城市猎人
快餐车
堕落天使
醉拳
The Cannonball Run
8 ½ Women
Walking Tall
英雄本色
盲井
蛇形刁手
千禧曼波
最好的时光
师弟出马
新警察故事
无间道II
神话
101 Dalmatians
Bloodsport
The Replacement Killers
精武门
少林足球
辣手神探
Bulletproof Monk
少林三十六房
特务迷城
Kung Pow: Enter the Fist
喋血街头
The Gods Must Be Crazy II
Cannonball Run II
Fu Zi
醉拳二
Highlander: Endgame
Монгол
我的父亲母亲
赤壁
荡寇
Harry Potter and the Deathly Hallows: Part 1
Harry Potter and the Deathly Hallows: Part 2
唐山大兄
大事件
New York, I Love You
少年黄飞鸿之铁马骝
特警新人类
杀破狼
死亡游戏
西游记第壹佰零壹回之月光宝盒
A Room with a View
鬼域
黄石的孩子
Push
五毒
Jin bei tong
豪侠
长江七号
放‧逐
Race to Witch Mountain
A Bright Shining Lie
神探
集结号
Dragonball Evolution
Wake of Death
The Painted Veil
The Red Violin
无间道III: 终极无间
投名状
夜宴
三国之见龙卸甲
江山美人
The Matrix Revisited
Anita and Me
Boarding Gate
叶问
天地英雄
墨攻
狗咬狗
The Guyver
黑社会2：以和为贵
夕阳天使
赤壁2：决战天下
Noi yee sil nui
鬼打鬼
中华英雄
牯岭街少年杀人事件
龙虎门
Bodyguard: A New Beginning
双子神偷
鬼马天师
赌神
Shu shan zheng zhuan
龙少爷
Initial D
Oh Schucks...! Here Comes UNTAG
门徒
武术之少年行
Agent Cody Banks 2: Destination London
神枪手 / Sun cheung sau
功夫灌篮
They Wait
颐和园
千机变
力王
方世玉
画皮
精武英雄
方世玉II
Dark Matter
証人
非诚勿扰
英雄本色2
阿飞正传
春光乍洩
和你在一起
데이지
Horsemen
鼠胆龙威
新精武门
东方不败之风云再起
Hong Xi Guan: Zhi Shao Lin wu zu
笑傲江湖II东方不败
Zhong Nan Hai bao biao
파이란
夏日福星
给爸爸的信
黄飞鸿之铁鸡斗蜈蚣
飞渡捲云山
龙腾虎跃
黑社会
Jian hua yan yu Jiang Nan
拳精
龙的心
双龙会
火烧岛
林世荣
龙之忍者
Liu zhi qin mo
猛龙
白发魔女传
Xilu xiang
Huo Yuan-Jia
蠍子战士
重案组
笑傲江湖
招半式闯江湖
伤城
复仇
Caveman
十八般武艺
The Big Brawl
笑拳怪招
Mo hup leung juk
赌神2
男儿本色
保持通话
蝴蝶
Chandni Chowk To China
新宿事件
如来神掌
不能说的秘密
夏日的么么茶
The Master
Shao Lin yu Wu Dang
南京!南京!
A计划
A计划续集
大佬爱美丽
顶天立地
十四女英豪
