person_name,person_english_name
梁家仁,Leung Kar-Yan
杨丽菁,Cynthia Khan
关秀媚,Suki Kwan
谷峰,Ku Feng
周文健,Michael Chow Man-Kin
宣萱,Jessica Hsuan
,Amy Yip
,Lee Kin-Yan
卢冠廷,Lowell Lo
楼南光,Billy Lau
任世官,Yen Shi-Kwan
,Billy Chow
,Lin Lin Li
,Meg Lam Kin-Ming
李丽丽,Lily Li Li-Li
刘家辉,Gordon Liu Chia-Hui
黄百鸣,Raymond Wong
,Raymond Tsang Chau Ming
,Aman Chang
,Chun Wong
赵雅芝,Angie Chiu
林尚义,Spencer Lam
王伍福,Wang Wufu
张国立,Zhang Guoli
王学兵,Wang Xuebing
林子聪,Lam Tze-chung
,Wong Kam-Kong
,Lily Chung Suk-Wai
罗兰,Helena Law Lan
,Shu-Kei Wong
,Ga-Ling Gung
鬼媾人,Wong Jing
,Chiang Tao
,Wilson Lam
陈豪,Moses Chan
,Bowie Lam
,Parkman Wong
叶蕴仪,Gloria Yip
,Tam Sin-Hung
陈加玲,Charine Chan
夏占士,James Ha
唐国强,Tang Guoqiang
车保罗,Paul Che Biu-law
,Sheila Chan
胡枫,Wu Fung
何东,Hoh Dung
叶荣祖,Teddy Yip Wing-Cho
,Bruce Leung Siu-Lung
,Nadia Chan
袁洁莹,Fennie Yuen
,Lei Yu
王羽,Jimmy Wang Yu
陈晓东,Daniel Chan Hiu-Tung
黄子扬,Karel Wong
,Joanna Chan
刘劲,Liu Jin
黄韵诗,Wong Wan-Si
秦沛,Paul Chun Pui
高雄,Eddy Ko
,Michelle Bestbier
陈建斌,Chen Jianbin
,Emil Chow
,Chi Fai Chan
,Joe Cheng
雷宇扬,Simon Lui
,Lung Tin-Sang
黄一飞,Wong Yat-Fei
陈松勇,Chan Chung-Yung
,Wyman Wong Wai-Man
,Nancy Sit Ka-Yin
童爱玲,Eileen Tung
陈百祥,Natalis Chan
,Lam Kau
吴志雄,Frankie Ng
宁静,Ning Jing
,Catherine Lau
,Chan Fai-Hung
,Wan Chi-Keung
张同祖,Joe Cheung
,Law Ching-Ho
佟大为,Tong Dawei
陈立品,Chan Lap-Ban
,Matthew Wong Hin-Mung
郑祖,Joe Cheng Cho
,Ho Pak-Kwong
顾美华,Josephine Koo
陈数,Chen Shu
,Helen Ma Hoi-Lun
,Cheung Chi-Gwong
吴刚,Wu Gang
温兆伦,Deric Wan
,Pauline Kwan
,Lee Hoi-Sang
,Yao Wen-Xue
,Han Yong-Hua
陈旭初,William Chan Yuk-Choh
,Tam Bing-Man
林子善,Jazz Lam
黄新,Wong San
田青,Tin Ching
,Wong Ching-Ho
何家驹,William Ho Ka-Kui
程东,John Ching Tung
,Jamie Luk Kim-Ming
陈宝莲,Pauline Chan Bo-Lin
,Stuart Ong
程守一,Billy Ching Sau-Yat
李家声,Dickson Lee
,Cheung Kwok-Leung
李丽珍,Loletta Lee
,James Lai Wing-Keung
关海山,Kwan Hoi-San
黄光亮,Tommy Wong
黄家驹,Wong Ka-Kui
黄家强,Steve Wong Ka-Keung
叶世荣,Yip Sai-Wing
朱咪咪,Mimi Chu
,Cheng Man-Fai
,Steven Fung Min-Hang
,Tenky Tin Kai-Man
,Victor Hon Kwan
苏志威,Edmond So
,Wong Hung
陈德容,Vivian Chan
卢海鹏,Lo Hoi-Pang
钱似莺,Mama Hung
,Albert Lai
梁本熙,Raymond Leung
黄斌,Ronald Wong Ban
植敬雯,Chik King-Man
,Tony Leung Siu-Hung
,Lee Ka-Ting
,Go Wang
,Tam Suk-Mooi
,Samuel Leung Cheuk-Moon
,Dung Chi-Wa
惠天赐,Austin Wai
,Lee Sheung-Ching
,Chiu Chi-Ling
陈国坤,Danny Chan Kwok-Kwan
,Jia Kang-Xi
,Carmen Soo
江欣燕,Alvina Kong
陈龙,Peter Chan Lung
太保,Tai Bo
,Victor Chew
林小楼,Lam Siu-Lau
,Sunny Fang Kang
,Michael Dinga
许英秀,Hui Ying-Sau
,Chan Ging-Cheung
,Lau Tin-Chi
司马华龙,Sze-Ma Wah-Lung
单立文,Tan Lap-Man
陶泽如,Tao Zeru
